Sample name,V66 GroES,V66 GroES,V66 GroES,V68 GroES,V68 GroES,V68 GroES,452 GroES,452 GroES,452 GroES,V66 RecC short,V66 RecC short,V66 RecC short,V68 RecC short,V68 RecC short,V68 RecC short,452 RecC short,452 RecC short,452 RecC short,V66 RecC long,V66 RecC long,V66 RecC long,V68 RecC long,V68 RecC long,V68 RecC long,452 RecC long,452 RecC long,452 RecC long
13,"59814,7393060837","55480,4932269005","44761,0783625701","36905,5877840948","57206,8226090511","51872,1372013244","26439,5501092476","40254,1444600005","56075,31054725","52642,7081465221","45810,0830191174","48608,6217000097","51955,9909637865","38191,1740037418","56017,2634782815","32930,0120514288","38333,4727742519","106150,7265625","44566,8007598976","58769,2930373088","72642,0969054504","40045,5146015554","43291,0231821849","33333,8801940898","41474,98311156","62367,9479209614","128131,97851575"
14,"76368,4277421414","71489,7010152115","58667,9761790308","42518,0437409156","73128,863567059","64876,2896678685","33409,1757509776","52203,8377520298","56075,31054725","63313,6673742718","55927,4801677671","56652,6999359611","54236,4903989001","39682,7589148837","57127,5982578895","40000,2821600055","47998,0185150683","106150,7265625","58730,5678158599","73098,97641843","88361,5191492245","41065,1553490006","43800,3262757862","34475,9482840125","53799,7446343761","79835,8402043061","128131,97851575"
15,"100596,880071999","94923,755423843","79175,5348726207","51553,7019629223","96887,4090494173","84892,4508285125","44669,6499870313","70029,7955434198","56075,31054725","79344,9037655276","71751,2150686015","68540,5880099067","57824,4552501328","42091,1152498796","58947,4385770675","51879,6704001824","62924,2225422151","106150,7265625","80217,0481850754","94849,6609686381","112132,736107033","42796,7007616079","44823,2733793768","36371,5586402692","73449,1128778412","106626,088088612","128131,97851575"
16,"132564,677773988","125802,079884692","107021,280059156","65696,0809604719","129760,100144158","113888,898071687","62240,9339108314","94617,9120869747","56075,31054725","101485,382274835","95166,309034446","85081,8776226651","63433,1551914738","45972,3150294645","61927,9610606108","71291,2752633798","85055,9138639228","106150,7265625","109862,472515366","124845,41310399","145024,297315342","45732,4864199238","46875,1794046212","39515,3338981293","103402,85468107","145713,959286213","128131,97851575"
17,"169138,78286832","161110,690136643","140416,15953731","86678,7747731799","170212,883918224","151587,358614634","87716,4352712338","124860,643226414","56075,31054725","128459,257348385","126427,541227156","105997,185685042","72085,7443725501","52200,1313907065","66799,1149283517","100829,410312153","115526,598917413","106150,7265625","145456,916510341","160688,383430384","184786,579170453","50691,9048954745","50975,9775463326","44718,5365772502","145159,253363814","198077,624080546","128131,97851575"
18,"205226,525434577","196041,853915971","175037,365543241","115115,88919617","213330,10995561","193604,316074274","120086,919138313","157395,891543957","56075,31054725","156860,230669765","162214,563367724","129330,921307167","85089,4657186615","62097,0363173582","74712,1972657369","139383,381604112","152909,901016967","106150,7265625","182053,040072503","197135,489728825","225871,99665283","59001,2051401049","59089,0820701955","53286,984520718","195415,694317044","260135,296121427","128131,97851575"
19,"237034,779542239","227015,564951677","206645,944336754","149039,133406054","253602,345497268","233481,029041169","154441,044592533","188434,674727827","56075,31054725","183200,879403905","196822,462811402","152246,203076577","103698,981077301","77494,367190888","87350,4600667939","179091,179095846","192698,946166568","106150,7265625","215198,94161189","229645,80967063","263039,397016599","72672,0370550486","74709,9864828186","67224,4017443263","245986,727800491","324204,726656322","128131,97851575"
20,"263342,354534","252832,517306713","233228,382535096","184213,529997655","287977,499756262","267094,705597723","185173,909568714","215695,085656076","56075,31054725","205698,254480075","226221,765445481","172628,98719954","128224,726164104","100412,093626675","106636,963662055","211710,176170994","229829,588016961","106150,7265625","243015,641600942","256498,7842924","294016,753297427","94312,3975263722","102801,940087495","89241,9400362897","289736,83786637","383027,124084814","128131,97851575"
21,"284558,904764558","273821,176161163","254730,039206549","216680,76305608","316010,526318549","293737,519289957","209815,991855504","238604,071325847","56075,31054725","224160,898366143","249522,554172237","189720,851680631","156977,94541781","131790,625561983","133036,598059334","235350,813949476","261483,978242508","106150,7265625","265599,059889776","277990,522043961","318919,208836354","126090,844067644","146434,101426259","121847,91951017","324426,089571025","433102,951307337","128131,97851575"
22,"301621,206561375","290827,313371978","271939,138827983","244529,742308632","338535,55143408","314446,48777329","228686,475065354","257535,93035217","56075,31054725","239132,565168609","267567,457743127","203684,420684258","186531,727748492","169448,321372562","162571,261247019","251915,377743263","287252,43319599","106150,7265625","283807,653444418","295110,845741108","338784,96025781","167294,042844178","200121,174559682","164537,088649531","351060,275710438","474201,740289325","128131,97851575"
